Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
KuCoin,FX/ETH,3595.27,187.93,292.31,2180530.0,0.01,Low,41.0,Recently,FX,ETH
Huobi Global,DOGE/ETH,3599.0,60937.3,155411.88,2079193.0,0.01,High,250.0,Recently,DOGE,ETH
Binance,OMG/ETH,3595.27,60422.7,141631.18,2058168.0,0.01,High,529.0,Recently,OMG,ETH
Kraken,ADA/ETH,3595.27,470088.84,609313.07,2048047.0,0.01,High,405.0,Recently,ADA,ETH
Gemini,ETH/SGD,3603.42,451984.08,119787.27,2004607.0,0.01,High,294.0,Recently,ETH,SGD
Bitstamp,ETH/USDT,3600.55,267320.34,195114.05,2003175.0,0.01,High,230.0,Recently,ETH,USDT
Binance,ETH/BIDR,3593.86,390808.95,110336.54,1964817.0,0.01,High,936.0,Recently,ETH,BIDR
FTX,ETH/BRZ,3609.59,379911.7,395612.94,1926621.0,0.01,High,157.0,Recently,ETH,BRZ
Kraken,DOT/ETH,3595.27,207288.72,588455.92,1852118.0,0.01,High,262.0,Recently,DOT,ETH
Coinbase Exchange,LINK/ETH,3595.27,92023.33,96912.61,1758912.0,0.01,High,267.0,Recently,LINK,ETH
Gemini,ETH/GBP,3600.43,185333.0,157535.89,1742322.0,0.01,High,279.0,Recently,ETH,GBP
Huobi Global,HT/ETH,3595.27,37790.71,75984.1,1652812.0,0.01,High,217.0,Recently,HT,ETH
Binance,BNB/USDT,441.64,9008010.28,3784932.37,518511337.0,25.9,High,605.0,Recently,BNB,USDT
Binance,BNB/BUSD,441.54,3529639.41,1641470.8,158346428.0,7.91,High,540.0,Recently,BNB,BUSD
Binance,BNB/BTC,441.18,1072604.87,1133961.53,90691348.0,4.53,High,652.0,Recently,BNB,BTC
FTX,BNB/USD,441.7,2288624.43,1613737.2,71678467.0,3.58,High,731.0,Recently,BNB,USD
